'MAY4','DowJones','S&P500','Nasdaq','SmallCap2000','S&P500VIX','S&P/TSX','Bovespa','S&P/BMVIPC','DAX','FTSE100','CAC40','EuroStoxx50','AEX','IBEX35','FTSEMIB','SMI','PSI20','BEL20','ATX','OMXS30','OMXC25','MOEX','RTSI','WIG20','BudapestSE','BIST100','TA35','TadawulAllShare','Nikkei225','S&P/ASX200','DJNewZealand','Shanghai','SZSEComponent','ChinaA50','DJShanghai','HangSeng','TaiwanWeighted','SET','KOSPI','IDXComposite','BSESensex','PSEiComposite','Karachi100','HNX30','Nifty50',Nifty50
0,0.04,0.3,0.35,-0.25,-2.93,-0.16,-1.11,-0.51,0.7,-0.37,0.36,0.48,-0.08,0.04,0.38,0.33,0.57,0.21,0.08,0.17,-0.25,0.3,0.57,0.61,0.94,2.38,0.69,-0.01,-0.08,0.42,1.11,-0.25,-0.07,-0.39,-0.14,-1.17,-0.96,-0.17,-1.52,-0.13,0.58,-0.3,-0.23,0.41,0.5,0.1
0,0.04,0.16,0.04,-1.0,-1.03,-0.01,0.41,0.86,0.25,0.35,0.2,0.08,-0.05,0.23,0.36,0.28,0.17,0.3,0.34,0.06,0.78,-0.41,0.05,0.19,0.18,0.22,0.24,0.25,-1.89,-0.4,0.33,0.35,-0.33,0.56,0.28,-0.68,-0.85,-0.03,0.0,-1.27,1.08,2.63,-0.21,0.4,1.01,0
0,0.31,0.26,-0.2,-0.93,4.47,-0.17,-1.66,-0.21,-0.32,-0.9,-0.83,-0.64,-0.65,-0.81,-0.76,-0.36,-0.02,-0.54,-0.8,-1.39,-0.12,0.58,0.46,-0.87,-0.39,0.53,-0.68,-0.26,0.07,-0.88,-0.07,-0.4,0.03,0.06,-0.26,-0.42,-0.26,0.48,-0.88,-0.84,0.26,1.02,-0.54,0.22,0.21,-0.1
0,-0.79,-0.71,-0.93,-1.23,11.1,-0.59,-1.07,0.37,-0.02,0.38,-0.28,-0.14,0.13,-0.68,-0.85,0.47,0.46,-0.35,-0.72,0.42,0.94,1.22,0.94,0.79,-0.39,0.44,-0.14,0.63,0.94,0.05,0.79,0.4,0.23,0.69,0.48,0.68,-0.38,0.37,0.89,-0.21,0.38,1.16,0.74,0.02,0.31,0.45
0,-0.19,0.13,0.11,-1.36,0.46,-0.43,0.45,-1.71,-1.25,-1.54,-2.43,-1.54,-0.73,-0.76,-1.63,-1.13,-0.13,-1.59,-2.17,-1.73,-0.76,-1.81,-2.36,-1.09,1.28,-0.67,0.2,-1.26,-0.46,0.03,-0.08,-1.29,-1.46,-2.73,-1.4,-1.55,0.07,0.56,-0.53,0.12,0.0,0.32,0.74,-1.26,-0.28,-1.1
0,0.65,0.81,1.19,1.56,-14.35,0.61,0.76,0.62,0.27,0.41,0.31,0.55,0.73,0.15,-0.04,0.1,0.63,0.1,-0.06,1.3,0.68,-0.55,-0.74,-0.2,-1.13,0.33,0.43,-1.12,1.69,0.38,1.01,1.09,1.51,0.98,1.04,1.97,2.56,0.98,1.5,0.61,-0.54,0.72,0.72,-0.78,-0.71,0.85
0,-0.11,-0.13,-0.04,0.32,1.79,-0.06,-0.8,1.34,-0.33,-0.4,-0.11,-0.06,-0.19,-0.24,-0.06,-0.2,1.44,-0.16,0.34,-0.91,-0.9,-0.24,-0.03,0.76,1.05,0.95,-0.56,0.57,1.3,-0.33,-0.34,0.98,-1.85,1.67,0.97,0.55,-0.24,0.34,0.22,-0.15,1.16,-0.16,0.11,0.21,1.19,0.25
0,-0.14,0.03,0.33,0.6,-2.25,0.52,0.52,-2.04,-0.07,0.42,1.18,0.74,0.3,1.64,0.66,0.17,1.02,0.31,0.37,0.74,0.66,1.33,1.84,0.13,-0.04,0.14,0.6,-0.08,0.03,-0.95,0.1,0.48,-0.26,-0.37,0.73,-0.05,-0.51,0.2,-1.04,-0.17,-0.37,1.17,-0.01,0.0,-0.33,0.1
0,-0.21,-0.03,0.21,-0.48,0.0,0.13,0.22,-0.48,-0.37,-0.36,-1.08,-0.71,-0.48,-1.31,-0.64,-0.65,-0.31,-0.75,-0.08,-0.78,-0.42,0.27,0.44,-0.46,0.82,-0.71,0.33,0.14,1.55,-0.63,-0.21,0.85,1.5,1.34,0.86,0.51,0.02,0.0,0.04,-0.19,0.48,-0.14,0.12,0.5,0.52,0.45
0,-0.21,-0.03,0.21,0.11,0.0,0.13,0.8,0.86,0.96,0.68,0.8,1.05,1.14,0.21,0.76,0.63,-0.18,0.25,0.2,1.04,0.66,0.66,0.16,1.49,0.93,0.41,0.33,0.64,0.66,-0.13,0.0,0.59,0.29,-0.21,0.7,0.75,-0.19,0.33,-0.52,-0.13,0.29,0.53,-0.08,0.34,0.31,0.15
0,-0.76,-0.34,0.07,-0.71,10.54,-0.07,0.8,-0.64,-0.56,-0.53,-0.26,-0.5,-0.48,0.14,-0.72,-0.69,-0.96,-0.47,0.05,-0.68,-0.27,-0.45,-0.75,-0.89,0.93,-1.35,0.33,0.06,0.64,-0.24,-0.77,-0.17,0.14,-0.61,-0.24,-0.06,-0.42,-0.11,-0.51,-0.88,-0.03,-0.59,-0.4,-0.02,-0.09,0.1
0,-0.2,-0.13,-0.57,-1.13,-0.99,-0.31,-3.78,-0.93,-1.47,-0.75,-0.85,-1.13,-0.72,-0.63,-0.75,-1.05,-1.15,-1.51,-0.65,-1.29,-1.49,0.18,0.15,-1.26,-0.21,-1.44,0.33,0.36,-0.61,-1.49,-0.9,0.12,-0.42,-0.57,-0.01,-1.53,0.08,-0.13,-1.15,0.28,-0.05,-0.6,-0.71,0.32,-0.05,-0.24
0,-0.78,-0.77,-0.87,-0.73,11.44,-0.35,-0.93,0.25,-0.09,0.07,-0.31,-0.16,0.17,-1.2,-0.86,-0.46,-0.61,-0.9,-0.76,-0.16,-0.91,0.23,-0.06,0.18,-0.49,-0.96,-0.34,-0.66,-0.16,0.27,0.07,0.05,-0.56,-0.04,0.04,-1.93,-0.06,0.13,-0.07,-0.49,0.0,-0.21,1.23,0.0,0.09,0
0,0.76,0.23,-0.07,0.49,-7.54,0.16,1.85,-0.05,0.59,0.56,0.2,0.46,0.38,1.39,0.93,0.12,1.79,0.28,1.4,-0.61,0.4,0.96,1.5,1.15,-0.49,-0.03,0.51,0.38,0.48,-0.23,-1.13,-0.17,0.79,0.21,-0.36,-0.43,-0.02,0.21,0.8,0.44,-0.22,0.63,0.15,0.16,-0.08,0.35
0,-0.84,-0.57,-0.45,-1.44,0.46,-0.55,-0.19,0.62,0.14,-0.49,-0.36,0.05,0.79,-0.41,0.39,0.19,-0.22,-0.41,0.01,0.28,0.27,0.36,0.2,-0.49,-1.0,-0.27,0.48,-0.12,-0.51,-0.46,-0.06,0.02,-0.52,-0.85,-0.05,-0.8,-0.44,0.18,0.31,-0.38,0.12,-0.02,-0.8,-0.08,0.14,0.05
0,0.68,0.85,0.82,1.04,-6.58,0.68,-0.96,0.73,-0.68,-0.25,-1.04,-1.09,-0.44,-1.65,-1.02,-0.93,-0.78,-1.14,0.06,-0.73,-1.09,0.24,0.69,-0.87,-1.0,-0.73,0.48,0.33,-0.34,0.87,-0.14,-0.65,-0.5,-0.24,-0.63,-1.49,-0.24,0.34,-0.67,-0.01,0.82,0.83,-0.37,0.53,0.8,0.1
0,-0.48,-0.91,-0.91,0.04,11.34,-0.54,-2.07,-1.69,-1.03,-0.91,-0.79,-0.94,-1.09,0.31,-0.98,-0.77,-0.71,-0.43,-1.23,-0.87,-0.62,-0.25,-0.6,-1.03,0.09,0.1,-0.3,-0.21,0.58,-2.29,-1.58,0.19,0.0,1.13,0.0,-3.9,-0.01,0.0,0.33,-0.69,-0.21,-0.37,-0.61,0.93,-0.25,-0.8
0,0.1,0.15,-0.03,-0.23,-4.72,-0.29,-0.69,-0.7,-0.72,-0.38,-0.95,-0.87,-1.14,-0.04,-0.43,-1.02,-0.61,-0.8,-1.19,-1.06,-1.68,-0.34,-0.32,-0.09,-0.95,-1.2,-0.35,0.73,0.35,0.76,0.11,-0.78,0.81,2.86,-0.71,0.99,0.19,0.24,0.54,-0.25,0.27,0.21,-0.49,0.18,0.17,0.3
0,0.21,-0.28,-0.52,1.5,5.69,0.3,0.27,0.96,0.27,0.17,0.19,0.17,-0.35,1.46,0.63,-1.07,0.48,0.93,1.51,-0.4,-1.65,1.06,1.53,-0.03,-0.17,0.51,-0.35,0.14,-0.2,-0.96,-0.97,0.55,0.13,0.5,0.44,1.64,-0.81,0.21,-0.71,0.06,0.05,-1.04,-0.57,-0.09,0.01,0.25
0,-1.63,-2.04,-2.83,-2.29,23.93,-1.41,-3.05,-1.3,-2.09,-0.5,-2.17,-2.56,-1.9,-2.59,-2.14,-1.76,-1.13,-1.27,-1.88,-2.17,-2.5,-0.39,-1.01,-0.07,-0.17,-0.57,-0.35,0.12,-2.47,-1.13,-1.15,-1.77,-1.33,-0.53,-1.78,-0.73,-1.53,-0.63,-2.0,0.03,-0.68,-0.77,1.02,-0.29,-0.6,-0.5
0,0.26,0.16,-0.24,-0.3,-2.97,-0.08,0.89,0.31,0.77,1.14,0.84,0.53,0.28,1.25,0.64,1.24,0.58,0.04,0.65,0.07,0.49,-0.17,0.01,0.07,1.09,0.59,-0.24,0.01,-0.43,1.4,1.01,0.32,1.41,0.39,0.36,-1.13,0.31,0.1,0.26,0.81,-0.43,0.63,-2.01,0.42,-0.21,0
0,-1.59,-1.19,-0.44,-0.72,2.57,-0.44,-0.11,0.59,-0.68,-0.31,-0.62,-0.79,-0.5,-0.94,-0.21,0.12,0.76,0.8,0.23,0.16,-0.65,1.11,1.21,0.08,1.09,1.04,0.46,0.98,-2.0,-2.22,0.1,0.9,0.0,0.32,0.0,-0.36,-1.7,-0.17,-1.31,-0.69,-0.48,0.37,1.2,-0.27,-0.53,-0.5
0,1.43,1.15,0.82,1.69,-8.6,0.4,1.73,-0.63,-0.68,-0.84,-0.04,-0.32,-0.68,0.04,-0.27,-0.58,0.3,-0.52,0.4,-0.22,-1.27,-0.4,-0.35,0.08,1.39,-0.35,0.25,-0.37,-1.0,0.86,0.15,0.9,0.0,0.32,0.0,-2.51,-0.5,0.66,0.0,1.59,-0.61,0.31,-0.06,-0.48,-0.49,0.5
0,-0.94,-1.3,-2.14,-0.99,8.56,-0.49,-2.22,-0.39,-0.79,-0.23,-0.61,-0.96,-1.24,-0.09,-0.6,0.06,0.63,-0.49,-0.11,-0.93,-1.76,0.63,0.8,0.04,-0.66,-0.51,-0.85,0.12,-2.03,-0.71,-1.32,0.9,0.0,0.32,0.0,0.23,0.14,0.06,-1.7,-0.34,0.91,-0.28,0.39,0.48,0.91,-0.15
0,0.92,1.05,1.25,0.55,-7.23,0.65,0.06,0.38,1.05,0.94,1.52,1.73,1.85,1.54,1.95,0.04,0.4,0.68,2.19,0.96,0.88,2.7,3.04,0.11,-0.66,-0.19,0.47,0.77,-2.07,-0.82,-0.48,0.9,0.0,0.32,0.0,-1.21,-0.54,0.25,-1.26,1.53,0.75,1.13,-0.84,0.07,0.74,0.2
0,0.3,0.41,0.47,-0.7,-1.41,0.04,0.09,-0.16,-1.46,-1.15,-1.27,-1.3,-1.29,-1.71,-1.35,-0.15,-1.33,-1.09,-1.66,-1.5,0.05,-1.23,-1.38,-0.07,-0.12,-1.43,-0.87,0.14,1.13,0.49,0.25,0.9,0.0,0.32,0.0,2.3,1.9,0.51,1.59,0.51,-0.93,-0.63,-0.66,0.19,-0.99,0.9
